season,Gameseq,SU_Win,ATS_Win,HomeAway,TeamScore,Off_Pass,Off_Run,Sacky,Def_Pass,Def_Run,Int_Rt,Def_Int_Rt,Fuml_Rt,Pen_Rt,Yrd_Winner,Fuml,Int,otherpoints
2018,201801,1,0,1,18,2.864864865,4.185185185,13,4.234042553,4.111111111,0.027027027,0.021276596,0.03125,0.171875,0,1,1,4
2018,201801,1,0,1,47,6.1,3.441176471,8,1.076923077,3.772727273,0,0.051282051,0.054054054,0.121621621,1,1,0,5
2018,201801,0,1,1,23,5.290909091,3.409090909,14,7.166666667,5.05,0.018181818,0.033333333,0.012987012,0.09090909,1,1,1,9
2018,201801,1,0,1,27,6.268292683,3.935483871,10,3.783783784,4.911764706,0.024390243,0.027027027,0.041666666,0.083333333,1,2,1,6
2018,201801,0,1,1,15,5.025641026,4.956521739,14,4.705882353,4.892857143,0.025641025,0.029411765,0.016129032,0.096774193,1,1,1,8
2018,201801,0,1,1,21,2.191489362,4.657894737,47,6.466666667,4.542857143,0.021276595,0.066666667,0.011764705,0.129411764,0,0,1,0
2018,201801,1,0,1,24,5.384615385,3.625,17,5.916666667,3.6,0,0.083333333,0.014084507,0.098591549,1,1,0,10
2018,201801,1,1,1,24,6.365853659,3.833333333,40,3.564102564,5.148148148,0.024390243,0,0.033898305,0.13559322,1,1,1,3
2018,201801,0,1,1,40,9.239130435,3.307692308,7,14.89285714,3.294117647,0,0,0.033898305,0.13559322,0,2,0,5
2018,201801,1,0,1,27,7.379310345,4.137931034,8,5.789473684,4,0.068965517,0.078947368,0,0.120689655,0,0,2,13
2018,201801,0,1,1,28,7.923076923,5.590909091,6,9.142857143,3.925925926,0.019230769,0,0.027027027,0.094594594,1,1,1,7
2018,201801,1,0,1,16,4.517241379,4.59375,15,3.028571429,4.272727273,0,0,0.032786885,0.147540983,1,1,0,2
2018,201801,1,0,1,27,7.975,4.5625,5,4.769230769,4,0.075,0.051282051,0,0.097222222,1,0,3,6
2018,201801,0,1,1,6,3.805555556,4.533333333,8,7.242424242,4.333333333,0.027777777,0,0.019607843,0.176470588,0,1,1,-1
2018,201801,0,1,1,17,5.769230769,2.6,0,7.043478261,4.694444444,0.096153846,0.043478261,0,0.044776119,1,0,5,10
2018,201801,0,1,1,13,7.243902439,4.130434783,3,6.382352941,5.384615385,0.073170731,0,0,0.171875,1,0,3,6
2018,201801,0,1,0,12,4.234042553,4.111111111,26,2.864864865,4.185185185,0.021276595,0.027027027,0.015384615,0.23076923,1,0,1,5
2018,201801,0,1,0,3,1.076923077,3.772727273,28,6.1,3.441176471,0.051282051,0,0.016393442,0.163934426,0,0,2,3
2018,201801,1,0,0,34,7.166666667,5.05,14,5.290909091,3.409090909,0.033333333,0.018181818,0.04,0.16,0,1,1,13
2018,201801,0,1,0,20,3.783783784,4.911764706,18,6.268292683,3.935483871,0.027027027,0.024390244,0.014084507,0.084507042,0,1,1,6
2018,201801,1,0,0,20,4.705882353,4.892857143,8,5.025641026,4.956521739,0.029411764,0.025641026,0,0.177419354,0,0,1,13
2018,201801,1,0,0,21,6.466666667,4.542857143,22,2.191489362,4.657894737,0.066666666,0.021276596,0.0375,0.15,1,3,3,0
2018,201801,0,1,0,16,5.916666667,3.6,24,5.384615385,3.625,0.083333333,0,0.032786885,0.049180327,0,1,3,9
2018,201801,0,0,0,23,3.564102564,5.148148148,16,6.365853659,3.833333333,0,0.024390244,0.03030303,0.075757575,0,1,0,16
2018,201801,1,0,0,48,14.89285714,3.294117647,0,9.239130435,3.307692308,0,0,0.016129032,0.112903225,1,0,0,13
2018,201801,0,0,0,20,5.789473684,4,0,7.379310345,4.137931034,0.078947368,0.068965517,0,0.074626865,1,0,3,13
2018,201801,1,0,0,38,9.142857143,3.925925926,0,7.923076923,5.590909091,0,0.019230769,0,0.109090909,0,0,0,10
2018,201801,0,1,0,8,3.028571429,4.272727273,32,4.517241379,4.59375,0,0,0.017543859,0.175438596,0,1,0,1
2018,201801,0,1,0,24,4.769230769,4,56,7.975,4.5625,0.051282051,0.075,0.054545454,0.127272727,0,1,2,3
2018,201801,1,0,0,24,7.242424242,4.333333333,8,3.805555556,4.533333333,0,0.027777778,0.04,0.12,1,1,0,3
2018,201801,1,0,0,48,7.043478261,4.694444444,18,5.769230769,2.6,0.04347826,0.096153846,0.016949152,0.118644067,0,1,1,20
